1000
[0.51, 0.61, 0.52, 0.48, 0.45, 0.50, 0.42, 0.56, 0.49, 0.56, 0.55, 0.50, 0.54, 0.58, 0.50, 0.61, 0.50, 0.58, 0.46, 0.52, 0.55, 0.50, 0.65, 0.50, 0.55, 0.49, 0.49, 0.51, 0.53, 0.54]
[1.62, 0.94, 1.12, 0.98, 0.90, 0.93, 1.10, 0.95, 0.88, 1.01, 0.96, 1.04, 0.98, 0.82, 0.94, 0.97, 0.95, 0.95, 0.89, 0.99, 0.92, 0.77, 0.81, 0.85, 1.04, 0.88, 0.73, 0.82, 0.80, 0.87]
[1.86, 1.12, 1.33, 1.20, 1.19, 1.12, 1.28, 1.14, 1.28, 1.13, 1.19, 1.26, 1.26, 1.24, 1.50, 1.57, 1.40, 1.38, 1.45, 1.41, 1.12, 1.31, 1.55, 1.48, 1.52, 1.48, 1.40, 1.36, 1.45, 1.35]
[1.97, 1.97, 1.87, 1.96, 1.85, 1.94, 1.90, 1.77, 1.95, 2.06, 1.86, 2.02, 1.98, 1.97, 1.82, 2.11, 1.95, 2.02, 1.89, 1.40, 2.07, 1.71, 1.52, 1.62, 1.53, 1.87, 1.63, 1.63, 2.07, 1.77]
[2.55, 2.48, 1.94, 2.21, 2.25, 1.97, 1.66, 2.19, 2.20, 2.24, 3.24, 3.45, 2.92, 3.59, 4.28, 3.82, 3.94, 3.07, 2.57, 3.04, 3.86, 3.52, 3.09, 3.17, 2.84, 3.24, 6.74, 3.44, 2.69, 3.63]
[3.97, 4.17, 4.33, 4.47, 5.08, 4.35, 8.57, 3.87, 5.28, 4.57, 4.27, 4.88, 4.20, 4.28, 4.90, 5.78, 4.27, 4.76, 4.57, 3.59, 4.75, 4.22, 4.66, 3.88, 4.09, 3.92, 3.75, 4.22, 3.89, 4.21]
[5.19, 4.72, 5.50, 4.94, 5.00, 5.14, 5.35, 3.94, 4.22, 4.82, 5.10, 4.83, 4.08, 3.92, 4.45, 5.08, 4.29, 3.95, 4.75, 4.50, 4.32, 4.28, 4.89, 4.52, 4.64, 4.83, 5.24, 5.03, 4.86, 3.30]
[3.82, 3.68, 3.73, 3.93, 3.11, 3.31, 3.38, 3.07, 3.38, 3.52, 3.27, 3.38, 3.41, 3.23, 3.26, 3.55, 3.29, 3.51, 3.59, 3.92, 3.77, 3.41, 3.02, 3.51, 3.52, 3.55, 3.59, 3.70, 2.51, 3.19]


10000
[0.57, 0.61, 0.60, 0.63, 0.62, 0.63, 0.63, 0.62, 0.57, 0.58, 0.65, 0.66, 0.58, 0.56, 0.67, 0.55, 0.64, 0.64, 0.49, 0.61, 0.58, 0.53, 0.53, 0.47, 0.51, 0.58, 0.59, 0.65, 0.54, 0.60]
[0.87, 0.88, 0.93, 1.10, 1.05, 2.20, 1.05, 1.02, 0.89, 1.06, 1.05, 0.96, 0.93, 1.05, 1.04, 1.02, 0.99, 0.80, 1.04, 0.87, 1.00, 1.03, 1.13, 0.98, 0.78, 0.94, 1.13, 1.07, 0.98, 1.06]
[1.48, 1.27, 1.16, 1.35, 1.63, 1.09, 1.35, 1.40, 1.16, 1.40, 1.23, 1.34, 1.27, 1.41, 4.02, 1.01, 0.96, 1.10, 1.10, 1.27, 1.06, 1.16, 2.03, 2.76, 2.15, 2.15, 1.74, 2.53, 1.79, 2.06]
[2.76, 2.97, 2.66, 2.24, 2.67, 2.79, 2.90, 2.67, 2.67, 2.27, 3.22, 2.91, 2.81, 2.64, 2.83, 2.32, 2.52, 2.90, 2.32, 2.72, 2.37, 2.26, 3.91, 2.70, 2.60, 3.82, 2.43, 2.25, 4.29, 2.79]
[3.74, 4.13, 3.33, 3.57, 3.63, 3.17, 3.29, 4.86, 3.01, 3.17, 3.77, 3.61, 3.27, 3.45, 3.64, 3.21, 3.51, 3.49, 4.13, 3.87, 3.48, 3.47, 3.29, 3.95, 3.54, 3.59, 3.63, 3.40, 3.33, 3.35]
[4.23, 4.11, 3.99, 4.50, 5.08, 3.82, 4.20, 3.85, 4.00, 4.09, 3.83, 3.52, 3.57, 3.27, 3.67, 4.09, 3.98, 4.18, 4.43, 4.13, 4.58, 2.61, 2.25, 2.64, 1.98, 1.68, 2.05, 2.50, 2.61, 2.61]
[3.51, 3.09, 3.33, 3.38, 3.56, 3.32, 3.15, 3.40, 3.23, 2.89, 3.10, 3.08, 3.19, 2.94, 3.05, 2.94, 3.08, 2.52, 3.12, 2.98, 3.12, 3.07, 2.96, 3.74, 2.83, 3.05, 3.13, 2.66, 2.78, 3.15]
[3.34, 2.97, 3.37, 3.11, 3.09, 3.06, 3.26, 3.25, 2.59, 2.69, 8.31, 2.59, 2.56, 2.52, 2.63, 2.47, 2.74, 2.60, 2.50, 2.55, 2.62, 2.58, 2.94, 2.86, 2.61, 2.76, 2.56, 3.22, 3.44, 3.05]


100000
[1.23, 1.22, 1.28, 1.42, 1.18, 1.21, 1.21, 3.61, 1.31, 1.29, 1.30, 1.57, 1.27, 1.14, 1.25, 1.36, 1.19, 1.26, 1.16, 1.24, 1.37, 1.22, 1.15, 1.10, 1.14, 1.02, 1.50, 1.16, 1.20, 1.23]
[1.63, 1.57, 1.39, 1.55, 1.56, 2.08, 1.64, 1.76, 2.03, 1.71, 1.71, 1.89, 1.68, 1.76, 1.71, 2.15, 1.76, 1.80, 1.75, 1.92, 1.63, 1.58, 1.61, 2.31, 1.68, 1.64, 1.59, 1.86, 1.89, 1.54]
[1.84, 2.57, 1.88, 2.03, 1.81, 2.31, 2.19, 2.05, 2.10, 2.28, 1.81, 2.11, 2.38, 2.11, 2.04, 2.16, 2.23, 2.11, 2.18, 2.04, 2.13, 2.40, 2.00, 2.55, 1.97, 2.00, 1.98, 3.83, 3.68, 3.61]
[4.07, 4.97, 5.05, 4.07, 4.15, 4.41, 4.51, 5.07, 4.26, 5.07, 4.19, 4.63, 4.45, 4.48, 5.56, 4.23, 5.13, 4.32, 4.55, 5.66, 4.62, 4.23, 5.09, 4.36, 4.31, 4.79, 4.94, 4.22, 5.19, 4.31]
[4.68, 5.38, 4.52, 5.23, 4.44, 4.93, 4.45, 5.34, 4.67, 4.61, 4.35, 4.74, 4.22, 4.34, 4.31, 4.67, 4.94, 4.84, 5.30, 4.71, 4.61, 4.60, 4.83, 5.47, 4.53, 4.91, 5.88, 6.24, 4.57, 4.74]
[5.51, 5.15, 5.01, 8.59, 6.60, 4.94, 5.45, 6.88, 5.32, 5.04, 5.29, 5.07, 5.33, 5.29, 7.00, 5.88, 5.62, 5.30, 5.61, 5.40, 5.11, 2.77, 2.62, 2.85, 2.41, 3.11, 2.63, 3.13, 2.48, 2.76]
[3.64, 3.47, 3.70, 3.35, 3.34, 3.81, 3.35, 3.29, 4.02, 3.57, 3.40, 3.13, 3.06, 3.84, 3.02, 3.14, 3.49, 3.12, 3.15, 3.47, 3.09, 3.23, 3.28, 3.27, 3.24, 3.29, 2.80, 3.39, 3.03, 2.97]
